bank_id,source_exam,original_number,status,reuse_ready,review_notes,domain,topic,task,task_label,approach,pattern,format,difficulty,stem,option_a,option_b,option_c,option_d,option_e,correct_index_zero_based,correct_letter,correct_answer_text,rationale,source_references,eco_reference,pmbok_reference,page_references,stimulus,case_id,raw_json
D1-035,Diagnostic 1,35,draft,,,process,Incremental Delivery Decision,PR3,Process Task 3 - Value-based delivery,adaptive,content,Scenario,Moderate-Hard,"A stakeholder objected to a partial release. The team completed readiness analysis, confirmed training is available, and demonstrated that releasing one workflow now will produce measurable benefits with manageable risk. What should the project manager do next?","Release the workflow immediately without further stakeholder communication, then update the affected plans and communicate the rationale to stakeholders.","Require the full release, since one stakeholder remains uncomfortable with a partial release","Seek approval for the incremental release using the documented readiness, risk, and benefits evidence","Cancel incremental delivery because consensus was not achieved, while documenting the assumptions and communicating the decision to affected stakeholders.",,2,C,"Seek approval for the incremental release using the documented readiness, risk, and benefits evidence","After analysis supports incremental value, the project manager should move the decision forward with evidence rather than restart analysis or bypass approval.",PMI-PMP-2026-ECO | PR3 Process Task 3 - Value-based delivery | pp. 9-10,PMI-PMP-2026-ECO | PR3 Process Task 3 - Value-based delivery | pp. 9-10,,pp. 9-10,,,"{""d"":""process"",""t"":""Incremental Delivery Decision"",""a"":""adaptive"",""q"":""A stakeholder objected to a partial release. The team completed readiness analysis, confirmed training is available, and demonstrated that releasing one workflow now will produce measurable benefits with manageable risk. What should the project manager do next?"",""o"":[""Release the workflow immediately without further stakeholder communication, then update the affected plans and communicate the rationale to stakeholders."",""Require the full release, since one stakeholder remains uncomfortable with a partial release"",""Seek approval for the incremental release using the documented readiness, risk, and benefits evidence"",""Cancel incremental delivery because consensus was not achieved, while documenting the assumptions and communicating the decision to affected stakeholders.""],""x"":2,""r"":""After analysis supports incremental value, the project manager should move the decision forward with evidence rather than restart analysis or bypass approval."",""task"":""PR3"",""taskLabel"":""Process Task 3 - Value-based delivery"",""rule"":""Value-based delivery protects outcomes and benefits, not only task completion."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-036,Diagnostic 1,36,draft,,,process,Integrated Status,PR9,Process Task 9 - Project status/artifacts,hybrid,content,Scenario,Moderate-Hard,"Software increments are ahead of plan and customer demonstrations are receiving positive feedback, but data migration is behind and may delay the integrated release. Leadership asks the project manager to report the project as green because the visible product work is progressing well. What should the project manager do?",Report amber because any delay on a critical workstream requires the entire project to be amber,"Report green overall, and describe the data migration position as a workstream-level concern within the report narrative",Delay the status decision until the migration team has an approved recovery plan,Determine overall status from the integrated release forecast and disclose both the software progress and the migration exposure,,3,D,Determine overall status from the integrated release forecast and disclose both the software progress and the migration exposure,"Overall status should reflect the integrated outcome and forecast, not the most visible workstream or a single variance in isolation. Component performance and release impact should both be transparent.",PMI-PMP-2026-ECO | PR9 Process Task 9 - Project status/artifacts | pp. 9-10,PMI-PMP-2026-ECO | PR9 Process Task 9 - Project status/artifacts | pp. 9-10,,pp. 9-10,,,"{""d"":""process"",""t"":""Integrated Status"",""a"":""hybrid"",""q"":""Software increments are ahead of plan and customer demonstrations are receiving positive feedback, but data migration is behind and may delay the integrated release. Leadership asks the project manager to report the project as green because the visible product work is progressing well. What should the project manager do?"",""o"":[""Report amber because any delay on a critical workstream requires the entire project to be amber"",""Report green overall, and describe the data migration position as a workstream-level concern within the report narrative"",""Delay the status decision until the migration team has an approved recovery plan"",""Determine overall status from the integrated release forecast and disclose both the software progress and the migration exposure""],""x"":3,""r"":""Overall status should reflect the integrated outcome and forecast, not the most visible workstream or a single variance in isolation. Component performance and release impact should both be transparent."",""task"":""PR9"",""taskLabel"":""Process Task 9 - Project status/artifacts"",""rule"":""Status and artifacts must be accurate, useful, transparent, and decision-ready."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-037,Diagnostic 1,37,draft,,,business,Continuous Improvement,BE6,Business Environment Task 6 - Continuous improvement,hybrid,content,Scenario,Moderate-Hard,"During a retrospective, the team identifies that defect rework is repeatedly caused by unclear acceptance examples. The product owner agrees the examples are inconsistent, but the next sprint is already planned. What should the project manager do?","Facilitate an improvement to the refinement process, agree how clearer examples will be checked, and review whether rework decreases",Continue with the planned sprint and capture the issue as a lesson learned for future projects,Ask quality assurance to absorb the additional testing effort so sprint commitments are protected,"Escalate the product owner for creating inconsistent acceptance examples, using the current summary and documenting the resulting decision path.",,0,A,"Facilitate an improvement to the refinement process, agree how clearer examples will be checked, and review whether rework decreases",Retrospective evidence should be converted into a specific process improvement with a way to verify whether the change worked.,PMI-PMP-2026-ECO | BE6 Business Environment Task 6 - Continuous improvement | pp. 11-12,PMI-PMP-2026-ECO | BE6 Business Environment Task 6 - Continuous improvement | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Continuous Improvement"",""a"":""hybrid"",""q"":""During a retrospective, the team identifies that defect rework is repeatedly caused by unclear acceptance examples. The product owner agrees the examples are inconsistent, but the next sprint is already planned. What should the project manager do?"",""o"":[""Facilitate an improvement to the refinement process, agree how clearer examples will be checked, and review whether rework decreases"",""Continue with the planned sprint and capture the issue as a lesson learned for future projects"",""Ask quality assurance to absorb the additional testing effort so sprint commitments are protected"",""Escalate the product owner for creating inconsistent acceptance examples, using the current summary and documenting the resulting decision path.""],""x"":0,""r"":""Retrospective evidence should be converted into a specific process improvement with a way to verify whether the change worked."",""task"":""BE6"",""taskLabel"":""Business Environment Task 6 - Continuous improvement"",""rule"":""Continuous improvement uses evidence and lessons learned to improve future work."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-038,Diagnostic 1,38,draft,,,business,Governance,BE1,Business Environment Task 1 - Governance,hybrid,content,Scenario,Moderate-Hard,"Backlog decisions on an adaptive project have begun altering commitments in a customer contract and a regulatory filing. The product owner argues that routing backlog changes to the steering committee will destroy the team's responsiveness, and notes that no change so far has actually breached a commitment. What should the project manager do first?","Require legal and compliance to review the backlog before each iteration begins, so that changes affecting commitments are caught before the team commits to them","Define governance thresholds identifying which backlog changes affect contracted or regulated commitments, escalate those, and leave decisions below the threshold with the product owner","Accept the product owner's position while no commitment has been breached, and introduce governance review only if a breach becomes likely","Add the contract and regulatory commitments to the team's definition of done, so that every increment is validated against them before it can be accepted or released",,1,B,"Define governance thresholds identifying which backlog changes affect contracted or regulated commitments, escalate those, and leave decisions below the threshold with the product owner","Governance should protect commitments that exceed team authority without governing everything. Thresholds do that. A definition-of-done criterion cannot authorize a contract change, blanket review destroys responsiveness, and waiting for a breach forfeits the control.",PMI-PMP-2026-ECO | BE1 Business Environment Task 1 - Governance | pp. 11-12,PMI-PMP-2026-ECO | BE1 Business Environment Task 1 - Governance | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Governance"",""a"":""hybrid"",""q"":""Backlog decisions on an adaptive project have begun altering commitments in a customer contract and a regulatory filing. The product owner argues that routing backlog changes to the steering committee will destroy the team's responsiveness, and notes that no change so far has actually breached a commitment. What should the project manager do first?"",""o"":[""Require legal and compliance to review the backlog before each iteration begins, so that changes affecting commitments are caught before the team commits to them"",""Define governance thresholds identifying which backlog changes affect contracted or regulated commitments, escalate those, and leave decisions below the threshold with the product owner"",""Accept the product owner's position while no commitment has been breached, and introduce governance review only if a breach becomes likely"",""Add the contract and regulatory commitments to the team's definition of done, so that every increment is validated against them before it can be accepted or released""],""x"":1,""r"":""Governance should protect commitments that exceed team authority without governing everything. Thresholds do that. A definition-of-done criterion cannot authorize a contract change, blanket review destroys responsiveness, and waiting for a breach forfeits the control."",""task"":""BE1"",""taskLabel"":""Business Environment Task 1 - Governance"",""rule"":""Governance defines decision rights, thresholds, success measures, and escalation paths."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-039,Diagnostic 1,39,draft,,,business,Compliance,BE2,Business Environment Task 2 - Compliance,predictive,content,Scenario,Moderate-Hard,"A new privacy rule takes effect before launch. Legal confirms that one project data flow falls within the rule, but the regulator permits compensating controls when they are reviewed and approved by compliance. The technical team proposes adding the permanent control after launch. What should the project manager do first?",Proceed with launch using enhanced monitoring and record the permanent control as a time-bound post-launch compliance action,"Ask the sponsor to accept the temporary exposure, document the proposed compensating control, and notify compliance after launch","Work with legal and compliance to evaluate the compensating-control path, and hold the affected release decision pending approval",Suspend the entire launch until the permanent privacy control is implemented and independently validated by legal and compliance,,2,C,"Work with legal and compliance to evaluate the compensating-control path, and hold the affected release decision pending approval","The rule applies, but an authorized compliance path may exist. The project manager should obtain the required assessment and governance decision before releasing the affected functionality.",PMI-PMP-2026-ECO | BE2 Business Environment Task 2 - Compliance | pp. 11-12,PMI-PMP-2026-ECO | BE2 Business Environment Task 2 - Compliance | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Compliance"",""a"":""predictive"",""q"":""A new privacy rule takes effect before launch. Legal confirms that one project data flow falls within the rule, but the regulator permits compensating controls when they are reviewed and approved by compliance. The technical team proposes adding the permanent control after launch. What should the project manager do first?"",""o"":[""Proceed with launch using enhanced monitoring and record the permanent control as a time-bound post-launch compliance action"",""Ask the sponsor to accept the temporary exposure, document the proposed compensating control, and notify compliance after launch"",""Work with legal and compliance to evaluate the compensating-control path, and hold the affected release decision pending approval"",""Suspend the entire launch until the permanent privacy control is implemented and independently validated by legal and compliance""],""x"":2,""r"":""The rule applies, but an authorized compliance path may exist. The project manager should obtain the required assessment and governance decision before releasing the affected functionality."",""task"":""BE2"",""taskLabel"":""Business Environment Task 2 - Compliance"",""rule"":""Mandatory compliance is not traded for schedule or cost; active violations are stopped and contained first."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-040,Diagnostic 1,40,draft,,,business,Issue Intervention,BE4,Business Environment Task 4 - Issues/impediments,adaptive,content,Scenario,Moderate-Hard,"Recurring production-support incidents are reducing the agile team's delivery capacity. The product owner favors reducing release scope, while the operations manager favors a temporary support rotation. Available data shows the trend but has not isolated the main capacity drivers. What should the project manager do first?",Escalate the resource-priority conflict to the sponsor with both preferred responses for decision,"Reduce release scope, since velocity has declined for two iterations and the release goal is no longer realistic","Implement the support rotation, since it preserves the release scope while sharing operational demand across the team","Facilitate analysis of incident demand, capacity impact, and response tradeoffs so the parties can select an evidence-based intervention",,3,D,"Facilitate analysis of incident demand, capacity impact, and response tradeoffs so the parties can select an evidence-based intervention","The problem is known, but the best intervention is not. The project manager should help the parties understand the drivers and tradeoffs before implementing or escalating a response.",PMI-PMP-2026-ECO | BE4 Business Environment Task 4 - Issues/impediments | pp. 11-12,PMI-PMP-2026-ECO | BE4 Business Environment Task 4 - Issues/impediments | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Issue Intervention"",""a"":""adaptive"",""q"":""Recurring production-support incidents are reducing the agile team's delivery capacity. The product owner favors reducing release scope, while the operations manager favors a temporary support rotation. Available data shows the trend but has not isolated the main capacity drivers. What should the project manager do first?"",""o"":[""Escalate the resource-priority conflict to the sponsor with both preferred responses for decision"",""Reduce release scope, since velocity has declined for two iterations and the release goal is no longer realistic"",""Implement the support rotation, since it preserves the release scope while sharing operational demand across the team"",""Facilitate analysis of incident demand, capacity impact, and response tradeoffs so the parties can select an evidence-based intervention""],""x"":3,""r"":""The problem is known, but the best intervention is not. The project manager should help the parties understand the drivers and tradeoffs before implementing or escalating a response."",""task"":""BE4"",""taskLabel"":""Business Environment Task 4 - Issues/impediments"",""rule"":""Active issues and impediments need ownership, intervention, and transparent communication."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-041,Diagnostic 1,41,draft,,,business,Risk Response Execution,BE5,Business Environment Task 5 - Risk,hybrid,risk,Scenario,Moderate-Hard,"A supplier delay triggers the project's approved response to switch to an alternate supplier. Before execution, the risk owner learns that the alternate supplier's required sustainability certification has expired. What should the project manager do first?","Reassess the response's viability, update the risk or issue information, and obtain the appropriate decision before switching suppliers","Keep the original supplier, update the schedule forecast, and wait until the delay becomes an actual issue before changing vendors",Escalate the supplier delay to the sponsor with the original response plan and request immediate authorization to proceed,"Execute the approved response because the trigger occurred, then address the expired certification as a procurement issue during onboarding",,0,A,"Reassess the response's viability, update the risk or issue information, and obtain the appropriate decision before switching suppliers",An approved response should not be executed blindly when new information makes it potentially noncompliant. The response must be reassessed and routed through the appropriate decision path.,PMI-PMP-2026-ECO | BE5 Business Environment Task 5 - Risk | pp. 11-12,PMI-PMP-2026-ECO | BE5 Business Environment Task 5 - Risk | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Risk Response Execution"",""a"":""hybrid"",""q"":""A supplier delay triggers the project's approved response to switch to an alternate supplier. Before execution, the risk owner learns that the alternate supplier's required sustainability certification has expired. What should the project manager do first?"",""o"":[""Reassess the response's viability, update the risk or issue information, and obtain the appropriate decision before switching suppliers"",""Keep the original supplier, update the schedule forecast, and wait until the delay becomes an actual issue before changing vendors"",""Escalate the supplier delay to the sponsor with the original response plan and request immediate authorization to proceed"",""Execute the approved response because the trigger occurred, then address the expired certification as a procurement issue during onboarding""],""x"":0,""r"":""An approved response should not be executed blindly when new information makes it potentially noncompliant. The response must be reassessed and routed through the appropriate decision path."",""task"":""BE5"",""taskLabel"":""Business Environment Task 5 - Risk"",""rule"":""Risk work is proactive before the trigger and issue management after realization."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""risk""}"
D1-042,Diagnostic 1,42,draft,,,business,Organizational Change Execution,BE7,Business Environment Task 7 - Organizational change,hybrid,content,Scenario,Moderate-Hard,"Adoption analysis has confirmed that middle managers are discouraging use of a new automated approval workflow because it removes a control they value. The sponsor has approved a change-management plan with manager coaching and adoption metrics. Two weeks in, adoption remains flat and the coaching sessions are being scheduled but not attended. What should the project manager do next?","Redesign the workflow to preserve a manager review step, since the resistance reflects an operational control the managers are accountable for and the plan did not address","Execute the approved plan while making adoption metrics and coaching attendance visible to the sponsor and the managers' leadership, and adjust the response if the trend does not move","Escalate the non-attendance to the sponsor and request that manager approval authority be withdrawn, using the current summary and documenting the resulting decision path.","Report the flat adoption as an issue and pause further deployment until the managers commit to attending the coaching, using the current summary and documenting the resulting decision path.",,1,B,"Execute the approved plan while making adoption metrics and coaching attendance visible to the sponsor and the managers' leadership, and adjust the response if the trend does not move","The approved response is only two weeks old and has not actually been received by its audience. The project manager executes it while making non-attendance visible where it can be acted on. Redesigning, pausing, or escalating for sanctions all abandon or overrun the approved plan prematurely.",PMI-PMP-2026-ECO | BE7 Business Environment Task 7 - Organizational change | pp. 11-12,PMI-PMP-2026-ECO | BE7 Business Environment Task 7 - Organizational change | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Organizational Change Execution"",""a"":""hybrid"",""q"":""Adoption analysis has confirmed that middle managers are discouraging use of a new automated approval workflow because it removes a control they value. The sponsor has approved a change-management plan with manager coaching and adoption metrics. Two weeks in, adoption remains flat and the coaching sessions are being scheduled but not attended. What should the project manager do next?"",""o"":[""Redesign the workflow to preserve a manager review step, since the resistance reflects an operational control the managers are accountable for and the plan did not address"",""Execute the approved plan while making adoption metrics and coaching attendance visible to the sponsor and the managers' leadership, and adjust the response if the trend does not move"",""Escalate the non-attendance to the sponsor and request that manager approval authority be withdrawn, using the current summary and documenting the resulting decision path."",""Report the flat adoption as an issue and pause further deployment until the managers commit to attending the coaching, using the current summary and documenting the resulting decision path.""],""x"":1,""r"":""The approved response is only two weeks old and has not actually been received by its audience. The project manager executes it while making non-attendance visible where it can be acted on. Redesigning, pausing, or escalating for sanctions all abandon or overrun the approved plan prematurely."",""task"":""BE7"",""taskLabel"":""Business Environment Task 7 - Organizational change"",""rule"":""Organizational change requires adoption support and readiness, not just deployment."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-043,Diagnostic 1,43,draft,,,business,External Environment,BE8,Business Environment Task 8 - External changes,adaptive,content,Scenario,Moderate-Hard,A competitor has released a capability that changes what customers now expect from the product your team is building. The current backlog still supports the approved business case. The sponsor's initial reaction is that the competitor's feature is superficial. The product owner wants to insert a comparable feature into the next iteration. What should the project manager do first?,"Insert the comparable feature into the next iteration, since the product owner owns backlog priority and customer expectations have moved, while documenting the assumptions and communicating the decision to affected stakeholders.","Continue with the approved backlog, since the business case remains valid, the sponsor considers the competitor's feature superficial, and the expected value is unchanged","Assess the effect of the shift on expected value, backlog priority, and strategic alignment, and bring the assessment to the product owner and sponsor for a prioritization decision","Request that the sponsoring organization revalidate the business case before any backlog change is considered, while documenting the assumptions and communicating the decision to affected stakeholders.",,2,C,"Assess the effect of the shift on expected value, backlog priority, and strategic alignment, and bring the assessment to the product owner and sponsor for a prioritization decision","A market shift is an input to value, not an instruction to react or to hold firm. The project manager assesses the impact and puts it in front of the people who decide priority. Reacting, standing pat, or demanding a business-case revalidation all skip that assessment.",PMI-PMP-2026-ECO | BE8 Business Environment Task 8 - External changes | pp. 11-12,PMI-PMP-2026-ECO | BE8 Business Environment Task 8 - External changes | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""External Environment"",""a"":""adaptive"",""q"":""A competitor has released a capability that changes what customers now expect from the product your team is building. The current backlog still supports the approved business case. The sponsor's initial reaction is that the competitor's feature is superficial. The product owner wants to insert a comparable feature into the next iteration. What should the project manager do first?"",""o"":[""Insert the comparable feature into the next iteration, since the product owner owns backlog priority and customer expectations have moved, while documenting the assumptions and communicating the decision to affected stakeholders."",""Continue with the approved backlog, since the business case remains valid, the sponsor considers the competitor's feature superficial, and the expected value is unchanged"",""Assess the effect of the shift on expected value, backlog priority, and strategic alignment, and bring the assessment to the product owner and sponsor for a prioritization decision"",""Request that the sponsoring organization revalidate the business case before any backlog change is considered, while documenting the assumptions and communicating the decision to affected stakeholders.""],""x"":2,""r"":""A market shift is an input to value, not an instruction to react or to hold firm. The project manager assesses the impact and puts it in front of the people who decide priority. Reacting, standing pat, or demanding a business-case revalidation all skip that assessment."",""task"":""BE8"",""taskLabel"":""Business Environment Task 8 - External changes"",""rule"":""External changes must be evaluated for project impact and routed through governance when needed."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-044,Diagnostic 1,44,draft,,,business,Ethics and Reporting,BE2,Business Environment Task 2 - Compliance,predictive,content,Scenario,Moderate-Hard,"A confirmed compliance concern is due to appear in tomorrow's steering report. A senior executive asks the project manager to omit it until a workaround is selected, arguing that early disclosure will distract the committee. What should the project manager do?",Classify the concern as an emerging risk and include it in the next reporting cycle with the selected workaround,Escalate the executive's request to the ethics office before issuing any steering report,Provide the concern only in a confidential addendum to the steering chair and legal counsel until a workaround is selected,"Include the concern and the current response options through the defined reporting path, and brief the executive on the proposed message",,3,D,"Include the concern and the current response options through the defined reporting path, and brief the executive on the proposed message","The project manager must report confirmed information accurately through established governance. The message can be managed responsibly, but the concern should not be withheld or delayed.",PMI-PMP-2026-ECO | BE2 Business Environment Task 2 - Compliance | pp. 11-12,PMI-PMP-2026-ECO | BE2 Business Environment Task 2 - Compliance | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Ethics and Reporting"",""a"":""predictive"",""q"":""A confirmed compliance concern is due to appear in tomorrow's steering report. A senior executive asks the project manager to omit it until a workaround is selected, arguing that early disclosure will distract the committee. What should the project manager do?"",""o"":[""Classify the concern as an emerging risk and include it in the next reporting cycle with the selected workaround"",""Escalate the executive's request to the ethics office before issuing any steering report"",""Provide the concern only in a confidential addendum to the steering chair and legal counsel until a workaround is selected"",""Include the concern and the current response options through the defined reporting path, and brief the executive on the proposed message""],""x"":3,""r"":""The project manager must report confirmed information accurately through established governance. The message can be managed responsibly, but the concern should not be withheld or delayed."",""task"":""BE2"",""taskLabel"":""Business Environment Task 2 - Compliance"",""rule"":""Mandatory compliance is not traded for schedule or cost; active violations are stopped and contained first."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-045,Diagnostic 1,45,draft,,,process,Benefits Transition,PR3,Process Task 3 - Value-based delivery,hybrid,content,Scenario,Moderate-Hard,"A transition gate requires a named benefits owner and an agreed measurement method for the expected reduction in customer wait time. Operations has accepted the deliverables and says benefits ownership can be settled after go-live, once the operating model stabilizes. The sponsor wants the project closed this quarter. What should the project manager do?","Hold the gate and present the unmet criterion to governance with options, so that ownership and measurement are assigned or the criterion is formally waived","Assign benefits measurement to the project team for the first quarter after go-live, so that the transition can proceed and the project can close this quarter",Add wait-time metrics to the project dashboard and continue reporting them until operations designates an owner,"Pass the gate, since operations has accepted the deliverables, and record the missing benefits ownership in lessons learned",,0,A,"Hold the gate and present the unmet criterion to governance with options, so that ownership and measurement are assigned or the criterion is formally waived","A gate criterion is either met or formally waived by the body that set it. The project manager cannot pass it on the strength of deliverable acceptance, nor can the project absorb an operational accountability to keep the closure date.",PMI-PMP-2026-ECO | PR3 Process Task 3 - Value-based delivery | pp. 9-10,PMI-PMP-2026-ECO | PR3 Process Task 3 - Value-based delivery | pp. 9-10,,pp. 9-10,,,"{""d"":""process"",""t"":""Benefits Transition"",""a"":""hybrid"",""q"":""A transition gate requires a named benefits owner and an agreed measurement method for the expected reduction in customer wait time. Operations has accepted the deliverables and says benefits ownership can be settled after go-live, once the operating model stabilizes. The sponsor wants the project closed this quarter. What should the project manager do?"",""o"":[""Hold the gate and present the unmet criterion to governance with options, so that ownership and measurement are assigned or the criterion is formally waived"",""Assign benefits measurement to the project team for the first quarter after go-live, so that the transition can proceed and the project can close this quarter"",""Add wait-time metrics to the project dashboard and continue reporting them until operations designates an owner"",""Pass the gate, since operations has accepted the deliverables, and record the missing benefits ownership in lessons learned""],""x"":0,""r"":""A gate criterion is either met or formally waived by the body that set it. The project manager cannot pass it on the strength of deliverable acceptance, nor can the project absorb an operational accountability to keep the closure date."",""task"":""PR3"",""taskLabel"":""Process Task 3 - Value-based delivery"",""rule"":""Value-based delivery protects outcomes and benefits, not only task completion."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-046,Diagnostic 1,46,draft,,,business,Compliance Governance,BE2,Business Environment Task 2 - Compliance,hybrid,content,Scenario,Moderate-Hard,"Impact analysis is complete. A cybersecurity control and an accessibility requirement cannot both be satisfied within the approved scope and cost. Both are mandatory under different organizational policies, and each is owned by a different function. What should the project manager do next?","Defer the decision to detailed design, where a technical solution satisfying both requirements may emerge, while documenting the assumptions and communicating the decision to affected stakeholders.","Present the documented conflict, the options, and their scope and cost impacts to the governance body with authority over both policies, for decision","Convene the two functional owners and facilitate agreement on a compromise position that both can accept, while documenting the assumptions and communicating the decision to affected stakeholders.","Implement the cybersecurity control, since security exposure carries the greater organizational risk, and document the accessibility gap",,1,B,"Present the documented conflict, the options, and their scope and cost impacts to the governance body with authority over both policies, for decision","Neither functional owner can waive the other's mandatory policy, so a facilitated compromise between them has no authority behind it. The tradeoff must be decided by the body that governs both, and deferring to design gambles on a solution that analysis has already ruled out.",PMI-PMP-2026-ECO | BE2 Business Environment Task 2 - Compliance | pp. 11-12,PMI-PMP-2026-ECO | BE2 Business Environment Task 2 - Compliance | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Compliance Governance"",""a"":""hybrid"",""q"":""Impact analysis is complete. A cybersecurity control and an accessibility requirement cannot both be satisfied within the approved scope and cost. Both are mandatory under different organizational policies, and each is owned by a different function. What should the project manager do next?"",""o"":[""Defer the decision to detailed design, where a technical solution satisfying both requirements may emerge, while documenting the assumptions and communicating the decision to affected stakeholders."",""Present the documented conflict, the options, and their scope and cost impacts to the governance body with authority over both policies, for decision"",""Convene the two functional owners and facilitate agreement on a compromise position that both can accept, while documenting the assumptions and communicating the decision to affected stakeholders."",""Implement the cybersecurity control, since security exposure carries the greater organizational risk, and document the accessibility gap""],""x"":1,""r"":""Neither functional owner can waive the other's mandatory policy, so a facilitated compromise between them has no authority behind it. The tradeoff must be decided by the body that governs both, and deferring to design gambles on a solution that analysis has already ruled out."",""task"":""BE2"",""taskLabel"":""Business Environment Task 2 - Compliance"",""rule"":""Mandatory compliance is not traded for schedule or cost; active violations are stopped and contained first."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
D1-047,Diagnostic 1,47,draft,,,business,Issue Intervention,BE4,Business Environment Task 4 - Issues/impediments,adaptive,content,Scenario,Moderate-Hard,"A risk that users would reject a redesigned workflow has materialized: pilot adoption is 20% against a 70% target. Release is three weeks away. Analysis shows the workflow does not match how users sequence the task, and training will not close the gap. The product owner proposes releasing on schedule with enhanced support and fixing the workflow in the next release. What should the project manager do next?",Keep the item in the risk register with increased probability and impact until the release decision is made,"Accept the product owner's proposal, since the release date is committed, enhanced support is available, and a workflow fix is already planned for the next release","Treat the materialized risk as an issue, and present the intervention options, their release and benefit impacts, and a recommendation to the decision makers",Delay the release until the workflow has been redesigned around the users' actual task sequence and re-piloted with the affected user group,,2,C,"Treat the materialized risk as an issue, and present the intervention options, their release and benefit impacts, and a recommendation to the decision makers","A materialized risk is an issue, and the release decision now carries a known benefit shortfall that the decision makers have not seen. The product owner cannot absorb that tradeoff alone, a unilateral delay preempts it, and leaving it in the risk register misclassifies what has already happened.",PMI-PMP-2026-ECO | BE4 Business Environment Task 4 - Issues/impediments | pp. 11-12,PMI-PMP-2026-ECO | BE4 Business Environment Task 4 - Issues/impediments | pp. 11-12,,pp. 11-12,,,"{""d"":""business"",""t"":""Issue Intervention"",""a"":""adaptive"",""q"":""A risk that users would reject a redesigned workflow has materialized: pilot adoption is 20% against a 70% target. Release is three weeks away. Analysis shows the workflow does not match how users sequence the task, and training will not close the gap. The product owner proposes releasing on schedule with enhanced support and fixing the workflow in the next release. What should the project manager do next?"",""o"":[""Keep the item in the risk register with increased probability and impact until the release decision is made"",""Accept the product owner's proposal, since the release date is committed, enhanced support is available, and a workflow fix is already planned for the next release"",""Treat the materialized risk as an issue, and present the intervention options, their release and benefit impacts, and a recommendation to the decision makers"",""Delay the release until the workflow has been redesigned around the users' actual task sequence and re-piloted with the affected user group""],""x"":2,""r"":""A materialized risk is an issue, and the release decision now carries a known benefit shortfall that the decision makers have not seen. The product owner cannot absorb that tradeoff alone, a unilateral delay preempts it, and leaving it in the risk register misclassifies what has already happened."",""task"":""BE4"",""taskLabel"":""Business Environment Task 4 - Issues/impediments"",""rule"":""Active issues and impediments need ownership, intervention, and transparent communication."",""format"":""Scenario"",""difficulty"":""Moderate-Hard"",""pattern"":""content""}"
